,Image,Fixation Duration,Saccade Amplitude,Saccade Rate,Time Spent,Number of Fixations
0,4-Slide2.PNG,47.645161290322584,1.8322962136092384,8.30658924210948,3.7319769999999988,31
1,4-Slide3.PNG,74.41304347826087,1.1003380612954599,7.921221515727503,5.6809419999999955,46
2,4-Slide4.PNG,46.73684210526316,2.0514768538948682,8.562180755040872,4.321328999999998,38
3,4-Slide5.PNG,54.57692307692308,1.170687285760782,7.076235397480595,3.5329520000000194,26
4,4-Slide6.PNG,83.64,2.259930919891198,7.009252774402476,3.566713999999978,25
5,4-Slide7.PNG,71.54545454545455,1.6286985895799893,7.16439189761007,4.466534000000014,33
6,4-Slide8.PNG,50.75,2.2026378304618897,8.166813286486468,3.9182969999999915,32
7,4-Slide9.PNG,71.46341463414635,0.9678359454918855,7.3631074080407695,5.432489000000001,41
8,4-Slide10.PNG,70.10526315789474,2.159687079531287,7.2140607359367115,5.267491,38
9,4-Slide11.PNG,54.035714285714285,3.2137148078644264,6.884606097262146,3.9217929999999996,28
10,4-Slide12.PNG,53.73684210526316,2.931247841507512,7.162498814889179,5.3054109999999985,38
11,4-Slide13.PNG,80.1,2.7343172730013405,6.789648321112347,4.418490999999998,30
12,4-Slide14.PNG,104.81818181818181,2.9933765018281244,5.75654107538766,3.6480240000000013,22
13,4-Slide15.PNG,59.583333333333336,2.686745199866285,6.626123990793004,3.6220269999999983,24
14,4-Slide16.PNG,68.51282051282051,2.487832027212826,7.412401024939996,5.126544000000002,39
15,4-Slide17.PNG,68.71428571428571,2.1089800305711215,7.214338256807451,3.742547000000006,28
16,4-Slide18.PNG,83.21875,1.453513622064426,6.812872372923449,4.550209999999999,32
17,4-Slide19.PNG,69.36585365853658,1.8837400593674092,8.184377659922736,5.009544000000002,41
18,4-Slide20.PNG,78.76666666666667,1.7199721254815812,7.097176672148059,4.227032999999996,30
19,4-Slide21.PNG,74.3,2.4962549113747663,6.995434133951807,5.575064999999995,40
20,4-Slide22.PNG,92.26086956521739,2.289332309715548,6.137303759712283,3.7475740000000006,23
21,4-Slide23.PNG,81.6842105263158,1.80899394816874,6.933947218793781,5.336065999999992,38
22,4-Slide24.PNG,74.76666666666667,2.230452755698914,6.711386097942267,4.321014999999999,30
23,4-Slide25.PNG,69.28571428571429,2.9195606914258607,6.841497788988883,4.969672000000006,35
24,4-Slide26.PNG,47.65384615384615,1.944676648028703,8.256345662149048,3.0279739999999875,26
25,4-Slide27.PNG,79.27272727272727,2.0402856463366716,7.0120664516007585,4.563561999999991,33
26,4-Slide28.PNG,83.64864864864865,1.934252704684713,6.900582351645625,5.216951000000001,37
27,4-Slide29.PNG,74.93103448275862,2.318213230790979,6.874800867836926,4.218304000000003,29
28,4-Slide30.PNG,63.515151515151516,1.485467176548816,7.3447813992743285,4.492986000000005,33
29,4-Slide31.PNG,66.5,2.6971630776585016,7.069260223856664,4.102267999999996,30
30,4-Slide32.PNG,82.79310344827586,1.6469146026878878,6.223577579117224,4.499020000000004,29
31,4-Slide33.PNG,67.38709677419355,2.0119398550917653,7.749472971259014,3.871231,31
32,4-Slide34.PNG,75.37037037037037,2.3965458536752124,6.84799133196477,3.942761999999988,27
33,4-Slide35.PNG,87.15384615384616,1.5120777365459555,7.2508651537085616,3.5857790000000094,26
34,4-Slide36.PNG,69.05405405405405,1.4079721129766287,7.909883575302512,4.551268000000011,37
35,4-Slide37.PNG,77.54347826086956,1.7964104687887097,6.928997508121591,6.638767000000022,46
36,4-Slide38.PNG,55.4,2.0506311971995386,7.441522463646887,3.897051999999996,30
37,4-Slide39.PNG,60.13333333333333,1.7915937724454492,6.982910258197795,4.29620299999998,30
38,4-Slide40.PNG,74.42857142857143,1.6309390092925984,7.0412287413569095,3.83455799999999,28
39,4-Slide41.PNG,65.96153846153847,2.0948258096967245,6.5925488376017825,3.7921600000000035,26
