,Image,Fixation Duration,Saccade Amplitude,Saccade Rate,Time Spent,Number of Fixations
0,4-Slide2.PNG,33.0,8.094598639102593,1.2718281480369789,3.1450790000000053,4
1,4-Slide3.PNG,60.0,2.5861597560703404,5.675544499838977,5.462031000000002,30
2,4-Slide4.PNG,59.05263157894737,1.615709888811963,4.716364070539925,4.028527000000002,19
3,4-Slide5.PNG,43.9375,3.3579147001669014,2.781355819340792,6.112127000000008,16
4,4-Slide6.PNG,50.6,3.1741862490886965,4.232155067773934,4.962010999999999,20
5,4-Slide7.PNG,84.92857142857143,2.9358693811530676,3.8146260665115506,7.340168999999994,28
6,4-Slide8.PNG,82.36363636363636,6.180585832995918,2.377387431893788,4.20629800000001,11
7,4-Slide9.PNG,33.3,4.3187300099052335,3.122456794423407,3.5228669999999984,10
8,4-Slide10.PNG,62.34782608695652,3.8168536887185582,4.590059842905203,5.228689999999999,23
9,4-Slide11.PNG,69.85714285714286,5.162270508047311,3.532071206555524,5.94552,21
10,4-Slide12.PNG,58.875,2.900612761109352,3.3269628925114425,9.618382000000002,32
11,4-Slide13.PNG,59.9375,5.455035858877359,4.155131847527437,3.85066,16
12,4-Slide14.PNG,79.0909090909091,1.7864366672700405,6.235258573338828,3.528322,22
13,4-Slide15.PNG,40.588235294117645,2.329297718269883,5.037987827661637,3.572854999999996,17
14,4-Slide16.PNG,49.629629629629626,4.110634389614217,5.309935230168627,5.273133999999998,27
15,4-Slide17.PNG,55.54545454545455,3.1227450342621474,5.29998490656472,4.339635000000002,22
16,4-Slide18.PNG,48.8421052631579,4.08906097196015,4.209733113444937,4.750895000000004,19
17,4-Slide19.PNG,64.36,1.554814682352524,6.164770565022563,4.217512999999999,25
18,4-Slide20.PNG,46.6,4.098449532994352,4.806765156643826,5.201002999999997,25
19,4-Slide21.PNG,40.80952380952381,3.5208705076943327,3.2775318635688615,6.712368000000002,21
20,4-Slide22.PNG,51.0,2.5662556674563826,4.527468149261556,3.5339840000000113,15
21,4-Slide23.PNG,78.32,2.6554701990212872,3.306840033266807,7.862491000000009,25
22,4-Slide24.PNG,71.28571428571429,4.434002951957216,3.5519865195007605,4.222989000000001,14
23,4-Slide25.PNG,93.22727272727273,4.863890569822273,3.7156890446462585,6.189969000000012,22
24,4-Slide26.PNG,46.625,4.304531305352658,2.1828580160003477,4.123035000000003,8
25,4-Slide27.PNG,54.214285714285715,3.0294657475299314,3.6430828058149496,4.117391999999993,14
26,4-Slide28.PNG,51.09090909090909,4.580216295643029,2.2661421554751,5.295343000000008,11
27,4-Slide29.PNG,54.357142857142854,3.213430728859284,3.5137369546240955,3.9843620000000084,14
28,4-Slide30.PNG,46.0,2.6846421501120985,5.039938361553835,4.761963000000003,24
29,4-Slide31.PNG,54.642857142857146,4.237410884619299,4.031275789366986,3.472846000000005,14
30,4-Slide32.PNG,56.86666666666667,4.454015060363244,3.7702509604714187,3.978515000000014,15
31,4-Slide33.PNG,64.55555555555556,2.3559862065709116,3.631652759117918,4.956421000000002,18
32,4-Slide34.PNG,75.41666666666667,4.242519690868941,3.9057582594018427,3.3284189999999945,12
33,4-Slide35.PNG,73.64285714285714,3.9862377697495224,3.97570157217794,3.7729189999999946,14
34,4-Slide36.PNG,72.58333333333333,5.077133602249136,3.299889377554548,3.9395260000000127,12
35,4-Slide37.PNG,63.47826086956522,6.4311736074661825,2.662911369877055,9.01269200000001,23
36,4-Slide38.PNG,61.285714285714285,3.872243600142783,3.4432186840982095,4.356389000000025,14
37,4-Slide39.PNG,98.75,8.662608781167805,2.098046369155913,4.2897050000000165,8
38,4-Slide40.PNG,47.85,2.389877007706487,4.704980103815384,4.250815000000002,20
39,4-Slide41.PNG,71.25,2.2208064862167074,3.6669930290462567,3.5451389999999954,12
