ImgName,SacNum,TimeSpent,SacRate,SacAmp
Slide38.png,10.0,4.35073000000001,2.2984648553231244,7.67070472322398
Slide5.png,7.0,3.2895009999999894,2.127982329234745,4.606683224829792
Slide28.png,13.0,4.53416799999999,2.8671191715878255,5.73641016964011
Slide18.png,11.0,4.167436000000001,2.6395126403860782,4.585994155551196
Slide19.png,25.0,6.334470999999998,3.946659476379323,5.145290736276156
Slide39.png,8.0,4.828631999999983,1.6567839504025215,3.6729404155289433
Slide4.png,13.0,5.12320199999999,2.537475586557006,5.157575943163751
Slide29.png,10.0,3.6895599999999975,2.710350285670922,5.939507926800789
Slide32.png,15.0,5.223226000000009,2.8717884311343167,5.364729442393607
Slide16.png,23.0,5.8233520000000025,3.949615273127915,3.398154223028562
Slide22.png,10.0,4.050766000000003,2.4686688887978208,4.723783824871552
Slide36.png,10.0,5.139845000000001,1.9455839621622826,6.346707794047506
Slide26.png,5.0,4.111847999999998,1.2159982567448997,8.312149616157138
Slide12.png,9.0,4.534084000000001,1.984965430724265,5.12289542176968
Slide37.png,8.0,4.0340219999999976,1.9831324668036032,2.9538525177623223
Slide27.png,8.0,4.106285000000003,1.9482330135390002,5.2641005527646785
Slide13.png,9.0,4.478580000000002,2.0095655319319956,4.988604242603504
Slide33.png,13.0,6.534505999999994,1.9894388343969707,4.295284088346147
Slide17.png,9.0,4.128576999999997,2.1799278540766,5.234224657345729
Slide23.png,20.0,4.267476999999999,4.6866099102584515,2.946278543817788
Slide34.png,11.0,5.134294999999984,2.1424557801996253,3.8036287873998265
Slide9.png,4.0,2.9950449999999837,1.3355391989102072,5.877986410850921
Slide24.png,6.0,4.334135999999998,1.3843589587405662,5.442471049144668
Slide10.png,10.0,3.306155,3.0246615781776716,5.051447637675835
Slide41.png,10.0,4.378557000000001,2.2838574443589517,5.516182129878504
Slide30.png,12.0,6.245602000000013,1.9213520169873095,4.926349185316341
Slide14.png,6.0,3.583958000000002,1.6741267615301285,10.141738739695214
Slide20.png,8.0,3.7618299999999945,2.1266245417788716,3.468995429763203
Slide31.png,11.0,3.200570999999996,3.4368867305240265,3.6747626471743713
Slide15.png,14.0,3.6784120000000002,3.8059901935944094,2.9989814282667133
Slide21.png,13.0,5.400955000000009,2.406981728231392,8.686933163561454
Slide35.png,7.0,2.9671820000000007,2.359140760492615,3.735665378325458
Slide8.png,12.0,3.717383999999991,3.228076518325798,5.194520609695885
Slide25.png,25.0,5.934443000000014,4.212695277383226,3.897476376101888
Slide11.png,16.0,4.37299,3.658823825346045,4.397742039947914
Slide40.png,8.0,3.4450109999999987,2.322198680933095,5.741145753289698
Slide3.png,18.0,5.695461999999999,3.1604108674590408,2.0850209225620104
Slide7.png,24.0,5.495437999999995,4.3672588063044335,4.423368316141541
Slide6.png,22.0,6.728957000000024,3.269451714433592,3.2190638521903434
Slide2.png,14.0,4.600781999999999,3.0429609575067897,6.233831514609511
 Total ,487.0,181.72743299999996,2.6295432122614364,6.233831514609511
