,Image,Fixation Duration,Saccade Amplitude,Saccade Rate,Time Spent,Number of Fixations
0,4-Slide2.PNG,43.92857142857143,3.2233504265187487,3.026338832123737,4.956484000000004,14
1,4-Slide3.PNG,59.8235294117647,3.3359349948393415,2.9449066857234816,6.112248000000007,17
2,4-Slide4.PNG,60.0,2.7574975170552536,3.782519464546553,5.023106999999989,19
3,4-Slide5.PNG,64.07142857142857,3.094276294617942,2.416748258773157,6.206687000000005,14
4,4-Slide6.PNG,55.77777777777778,2.6539472469347327,3.868071876104435,4.912008000000002,18
5,4-Slide7.PNG,71.52941176470588,3.025984022760819,2.6443072342801774,6.4289049999999985,17
6,4-Slide8.PNG,40.0625,2.3022913418923667,3.19023921914955,5.328753999999987,16
7,4-Slide9.PNG,106.33333333333333,3.8064339547897514,2.9917960349957387,4.3452159999999855,12
8,4-Slide10.PNG,81.14285714285714,3.704564966534216,1.700089206109343,4.117431000000001,7
9,4-Slide11.PNG,101.8,3.9299399593225046,2.028956043276009,4.928643,10
10,4-Slide12.PNG,32.0,7.141016444310873,1.4857847543626352,5.384360000000001,7
11,4-Slide13.PNG,92.0,16.509025429449164,1.0493603361730772,5.7177690000000005,6
12,4-Slide14.PNG,53.8235294117647,2.541856568372695,2.7734617918658686,6.490083999999999,17
13,4-Slide15.PNG,44.2,2.371168476994641,3.1946840457478745,6.573420000000002,20
14,4-Slide16.PNG,57.57142857142857,5.0652012847922165,2.002817964876582,6.990150999999998,14
15,4-Slide17.PNG,54.666666666666664,2.69717654857035,2.9928166414970763,5.012001000000004,15
16,4-Slide18.PNG,58.63636363636363,6.282997489693611,2.5170430030504445,4.7674990000000035,11
17,4-Slide19.PNG,61.0625,2.861725087778721,2.5516724937360196,6.662296999999999,16
18,4-Slide20.PNG,38.0,2.934450584661706,2.615803244511557,7.645834999999992,19
19,4-Slide21.PNG,69.44444444444444,5.177726088602167,1.509793350054799,6.623422999999995,9
20,4-Slide22.PNG,42.9375,2.5508005714589226,2.9593875843333035,5.40652399999999,16
21,4-Slide23.PNG,33.81818181818182,3.5451745114008753,1.9044133668869792,6.3011530000000056,11
22,4-Slide24.PNG,100.26666666666667,2.9602870360316738,2.3555949620419434,6.367817999999999,15
23,4-Slide25.PNG,42.0,7.991673771675072,2.3942467845930757,7.5180219999999975,18
24,4-Slide26.PNG,41.857142857142854,3.231214734433128,2.5075806090720416,5.1842799999999984,14
25,4-Slide27.PNG,56.833333333333336,3.489429706100022,2.586338443075986,4.639763999999996,12
26,4-Slide28.PNG,53.76923076923077,3.6199057772533405,2.76268605703921,5.067531999999992,13
27,4-Slide29.PNG,32.46153846153846,2.98168608036836,2.8706525898696436,4.528587,13
28,4-Slide30.PNG,68.4,3.7690238477004847,1.941394729035649,5.150936000000016,10
29,4-Slide31.PNG,104.9090909090909,4.5078548202043605,2.4995469571140254,4.800869999999995,11
30,4-Slide32.PNG,35.0,4.179942847106301,2.2780587067119,7.0235240000000045,15
31,4-Slide33.PNG,94.0,5.5398125501106765,1.8864724643876427,5.300899000000005,10
32,4-Slide34.PNG,72.94736842105263,4.496765120682718,2.4216590123123503,7.845861000000005,19
33,4-Slide35.PNG,80.83333333333333,10.836315123124795,1.449672446510712,4.828676999999996,6
34,4-Slide36.PNG,101.33333333333333,8.048073106427292,1.0139021189033408,3.9451540000000094,3
35,4-Slide37.PNG,52.53846153846154,4.0503016409814485,2.134657828307496,6.0899690000000115,13
36,4-Slide38.PNG,56.69230769230769,4.886750271693682,2.1020754923222498,6.184364000000001,13
37,4-Slide39.PNG,39.4,3.6221453058127318,2.839753928222736,5.6342909999999975,15
38,4-Slide40.PNG,51.6,6.123427189312556,1.97372080463215,5.573229999999981,10
39,4-Slide41.PNG,63.15384615384615,4.075671060107672,2.821431025785658,4.962021000000008,13
