,Image,Fixation Duration,Saccade Amplitude,Saccade Rate,Time Spent,Number of Fixations
0,4-Slide2.PNG,72.72727272727273,3.9272336429335453,3.842763100379692,3.1227530000000043,11
1,4-Slide3.PNG,57.625,2.097453311343205,5.412509934210935,4.4341720000000056,24
2,4-Slide4.PNG,58.0,4.406910431668835,4.076993438661499,3.433902999999991,13
3,4-Slide5.PNG,41.111111111111114,2.577661269653539,5.275914191359167,3.4117309999999996,18
4,4-Slide6.PNG,49.44444444444444,1.7463815186607345,6.0733843838583885,3.1284039999999806,18
5,4-Slide7.PNG,53.25,4.861485159177249,4.457389446294745,3.5895449999999838,16
6,4-Slide8.PNG,58.25,3.2555001538908956,5.260948527098808,4.561915000000008,24
7,4-Slide9.PNG,93.88888888888889,2.6084966733338217,2.4841552298920058,3.6229619999999993,9
8,4-Slide10.PNG,57.125,2.0538322929309634,5.302907020485462,3.017213,16
9,4-Slide11.PNG,56.476190476190474,3.8514551160527657,5.623984966576912,3.911817000000001,21
10,4-Slide12.PNG,71.95238095238095,2.3660193113392616,5.353263107018614,3.9228409999999987,21
11,4-Slide13.PNG,61.2,1.938408452476926,5.5035561227887415,3.634013999999999,20
12,4-Slide14.PNG,69.69565217391305,5.829220407334734,4.375531722224505,5.2565040000000005,23
13,4-Slide15.PNG,53.86363636363637,2.1694158699988293,6.2945338268247895,3.4950959999999975,22
14,4-Slide16.PNG,67.1875,4.570402394000109,4.1611185086551234,3.8451200000000028,16
15,4-Slide17.PNG,49.05555555555556,3.4847962754220028,5.64244257181344,3.367336000000003,18
16,4-Slide18.PNG,60.38461538461539,4.526046581162678,4.809003045578623,5.406525999999998,26
17,4-Slide19.PNG,37.285714285714285,3.618472244538672,5.514349716549892,3.9895910000000003,21
18,4-Slide20.PNG,70.5625,4.818935033101603,4.396152706958503,3.639546000000002,16
19,4-Slide21.PNG,53.95238095238095,3.296246250869703,5.438641249424002,4.045127999999997,21
20,4-Slide22.PNG,49.0,5.17724646109698,3.02240564255657,3.6394850000000005,11
21,4-Slide23.PNG,43.23529411764706,3.4471946113804286,4.512443727172343,3.7673600000000005,17
22,4-Slide24.PNG,65.85714285714286,3.954988781933323,3.77355642598924,3.445025999999998,14
23,4-Slide25.PNG,64.36842105263158,4.30080587377137,4.608211104576077,4.123074999999997,19
24,4-Slide26.PNG,47.0625,2.4351448092446066,5.7314341653083,2.617146000000008,16
25,4-Slide27.PNG,64.57142857142857,3.3076462772661235,5.640747253963375,3.7229109999999928,21
26,4-Slide28.PNG,40.357142857142854,3.6064440875618113,4.777938918191806,3.139429000000004,14
27,4-Slide29.PNG,75.64285714285714,2.669654635557758,4.622518940000941,3.2449839999999965,14
28,4-Slide30.PNG,36.411764705882355,3.8636566257676157,5.643707125462438,3.1893929999999964,17
29,4-Slide31.PNG,45.0,3.3146409384923645,4.031254895095246,3.4728639999999866,15
30,4-Slide32.PNG,53.54545454545455,2.9709847541607983,4.969135188995655,4.628572,22
31,4-Slide33.PNG,43.3,2.7657213716190445,5.34030135854598,3.745106999999989,20
32,4-Slide34.PNG,77.84210526315789,2.1675763937834995,5.178891872506037,3.8618300000000017,19
33,4-Slide35.PNG,72.29411764705883,2.594379455000282,4.815132033929838,3.322857999999993,17
34,4-Slide36.PNG,65.13333333333334,3.7519218123484572,3.7738928695596425,4.239653999999995,15
35,4-Slide37.PNG,55.0,3.834005206317662,3.3138529760693873,3.9229260000000066,12
36,4-Slide38.PNG,62.31578947368421,2.059571589264289,5.499817283848022,3.272835999999996,19
37,4-Slide39.PNG,35.47826086956522,2.6553048827214565,6.408325696745217,3.745127999999997,23
38,4-Slide40.PNG,63.9,3.3662209467825344,3.0196391289669933,3.3116539999999803,10
39,4-Slide41.PNG,45.375,3.8288210537027925,2.8974887786698407,3.1061380000000063,8
