,Image,Fixation Duration,Saccade Amplitude,Saccade Rate,Time Spent,Number of Fixations
0,4-Slide2.PNG,67.66233766233766,1.2691987145577883,3.4763496136282535,22.437329,77
1,4-Slide3.PNG,74.4659090909091,1.1025641284617735,3.4918608059536393,25.48784300000005,88
2,4-Slide4.PNG,258.55555555555554,1.7476768184529035,2.2477670633128595,20.464753999999957,45
3,4-Slide5.PNG,72.0,1.0118652768699394,3.585279457168203,15.619423999999999,56
4,4-Slide6.PNG,310.45454545454544,1.8141183930922125,1.633376595539803,13.469030999999958,22
5,4-Slide7.PNG,332.4888888888889,1.83560470329089,1.8133772111515767,24.815576,45
6,4-Slide8.PNG,206.21875,1.5884365327883065,2.3573392608629025,27.149253000000027,64
7,4-Slide9.PNG,249.33333333333334,2.142340665684135,1.7911119573466077,12.841185000000056,24
8,4-Slide10.PNG,37.67857142857143,2.9969299008727313,3.522536749808179,15.897634,56
9,4-Slide11.PNG,58.16923076923077,1.694475968097292,2.8424381004192893,23.219503000000003,65
10,4-Slide12.PNG,48.20952380952381,1.5014293817988542,3.477035036441951,30.485744,105
11,4-Slide13.PNG,56.68478260869565,1.3557658603056042,3.449497703061081,26.960447,92
12,4-Slide14.PNG,57.766666666666666,1.650526024119276,3.3138539414869532,27.460474,90
13,4-Slide15.PNG,66.32352941176471,1.8810441751242597,3.2104062573702685,21.49260699999999,68
14,4-Slide16.PNG,70.63529411764706,1.4048525621259778,3.3363049724134144,25.77701999999999,85
15,4-Slide17.PNG,85.9090909090909,1.7478410353497538,2.8152820738258546,23.798681000000013,66
16,4-Slide18.PNG,72.83673469387755,1.4189093095905665,3.721152050632924,26.604664000000017,98
17,4-Slide19.PNG,67.92957746478874,1.8677774877912552,3.531668223707247,20.386965999999987,71
18,4-Slide20.PNG,58.967032967032964,2.0792233420800095,3.3477342313992144,27.182564000000013,91
19,4-Slide21.PNG,57.6910569105691,1.0065188092052473,3.770235408330022,32.88919300000003,123
20,4-Slide22.PNG,68.87878787878788,1.6249129815323233,3.3956254917005033,19.73126900000003,66
21,4-Slide23.PNG,74.8989898989899,1.5143163754859352,3.3648345289938626,29.42195199999999,99
22,4-Slide24.PNG,78.3076923076923,1.3413566254948353,2.9631213274067836,17.886544000000054,52
23,4-Slide25.PNG,58.142857142857146,1.3459102881948604,3.5457191850409915,21.998358000000007,77
24,4-Slide26.PNG,63.104651162790695,1.305636801508033,3.679803365000464,23.370814000000014,86
25,4-Slide27.PNG,69.78571428571429,1.1690312576954847,3.084851484232215,18.153224000000044,56
26,4-Slide28.PNG,80.15555555555555,1.0973326315141998,3.22779542146544,27.88280800000002,90
27,4-Slide29.PNG,68.34375,2.1666177162126634,3.021923778063035,21.509477000000015,64
28,4-Slide30.PNG,59.4375,1.4715707991285,2.844645491860961,17.22534500000009,48
29,4-Slide31.PNG,88.51470588235294,1.0217833791999233,3.280790600164049,21.03151600000006,68
30,4-Slide32.PNG,98.7,1.3830837118003736,2.818772329865255,32.283557999999964,90
31,4-Slide33.PNG,95.80701754385964,1.2708515562114404,3.2376409476284693,17.91427800000005,57
32,4-Slide34.PNG,64.05633802816901,1.0790849186383586,3.9584130242715885,17.93648100000003,71
33,4-Slide35.PNG,76.16129032258064,1.319222827886694,3.6235201658674874,17.386408000000053,62
34,4-Slide36.PNG,165.08333333333334,1.9899952344453125,2.476383138317316,19.786922000000022,48
35,4-Slide37.PNG,75.58333333333333,1.3618175415045848,3.5712908520066837,23.52090700000001,84
36,4-Slide38.PNG,63.81818181818182,1.6984032525125392,3.1950286748014607,17.2142429999999,55
37,4-Slide39.PNG,59.885714285714286,0.8444821321083722,4.124500187548563,17.21420700000005,70
38,4-Slide40.PNG,139.05263157894737,1.1217546491494497,2.7116534735210442,7.006795000000042,19
39,4-Slide41.PNG,76.88,2.260912900360305,2.9286383852843296,17.414235999999917,50
